title_id,total,title,state,issn,start_date,end_date
3,58090,The Sydney Gazette and New South Wales Advertiser (NSW : 1803 - 1842),New South Wales,18336310,1803-03-05,1842-10-20
4,1923,The Hobart Town Gazette and Southern Reporter (Tas. : 1816 - 1821),Tasmania,18340946,1816-05-11,1821-01-13
5,1556,Hobart Town Gazette and Van Diemen's Land Advertiser (Tas. : 1821 - 1825),Tasmania,18340954,1821-01-20,1825-08-12
6,9386,The Perth Gazette and Western Australian Journal (WA : 1833 - 1847),Western Australia,18340938,1833-01-05,1847-12-25
7,444692,"The South Australian Advertiser (Adelaide, SA : 1858 - 1889)",South Australia,1834092X,1858-07-12,1889-03-30
8,377466,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),New South Wales,14403676,1843-01-07,1893-12-30
9,132856,"Northern Territory Times and Gazette (Darwin, NT : 1873 - 1927)",Northern Territory,18340911,1873-11-07,1927-06-03
10,3405188,"The Mercury (Hobart, Tas. : 1860 - 1954)",Tasmania,10399992,1860-07-02,1954-12-31
11,3265867,The Canberra Times (ACT : 1926 - 1995),ACT,01576925,1926-09-03,1995-12-31
12,1441736,"The Courier-Mail (Brisbane, Qld. : 1933 - 1954)",Queensland,13225235,1933-08-28,1954-12-31
13,5182264,"The Argus (Melbourne, Vic. : 1848 - 1957)",Victoria,18339719,1848-09-15,1957-01-19
14,18475,"The Moreton Bay Courier (Brisbane, Qld. : 1846 - 1861)",Queensland,1833556X,1846-06-20,1861-05-11
15,20322,"The Courier (Brisbane, Qld. : 1861 - 1864)",Queensland,18335578,1861-05-14,1864-04-09
16,2986438,The Brisbane Courier (Qld. : 1864 - 1933),Queensland,18335551,1864-04-11,1933-08-31
18,5772,The Melbourne Argus (Vic. : 1846 - 1848),Victoria,18339700,1846-06-02,1848-09-12
19,6072,The Hobart Town Courier (Tas. : 1827 - 1839),Tasmania,18354742,1827-10-20,1839-06-28
20,1411,The Hobart Town Courier and Van Diemen's Land Gazette (Tas. : 1839 - 1840),Tasmania,18354750,1839-07-05,1840-10-02
21,61961,"The Courier (Hobart, Tas. : 1840 - 1859)",Tasmania,18354769,1840-10-06,1859-05-31
22,5603,The Hobart Town Gazette (Tas. : 1825 - 1833),Tasmania,18354777,1825-06-25,1833-02-22
23,1271,"Colonial Times and Tasmanian Advertiser (Hobart, Tas. : 1825 - 1827)",Tasmania,18354718,1825-08-19,1827-12-28
24,47942,"Colonial Times (Hobart, Tas. : 1828 - 1857)",Tasmania,18354734,1828-01-04,1857-08-22
25,156350,"Northern Standard (Darwin, NT : 1921 - 1955)",Northern Territory,18355323,1921-02-19,1955-02-10
26,13599,The Perth Gazette and Independent Journal of Politics and News (WA : 1848 - 1864),Western Australia,18355811,1848-01-01,1864-09-30
27,762,"The West Australian Times (Perth, WA : 1863 - 1864)",Western Australia,1835582X,1863-10-01,1864-09-29
28,8414,The Perth Gazette and West Australian Times (WA : 1864 - 1874),Western Australia,18355846,1864-10-07,1874-06-26
29,9086,"The Western Australian Times (Perth, WA : 1874 - 1879)",Western Australia,18355838,1874-07-03,1879-11-14
30,3360651,"The West Australian (Perth, WA : 1879 - 1954)",Western Australia,03126323,1879-11-18,1954-12-31
31,6908,The Hobarton Mercury (Tas. : 1854 - 1857),Tasmania,18356710,1854-07-05,1857-01-30
32,3196,The Hobart Town Mercury (Tas. : 1857),Tasmania,18356737,1857-02-02,1857-12-28
33,18730,The Hobart Town Daily Mercury (Tas. : 1858 - 1860),Tasmania,18356729,1858-01-01,1860-06-30
34,2222751,"The Advertiser (Adelaide, SA : 1889 - 1931)",South Australia,18356753,1889-04-01,1931-02-20
35,5799634,The Sydney Morning Herald (NSW : 1842 - 1954),New South Wales,03126315,1842-08-01,1954-12-31
36,22775,"Northern Territory Times (Darwin, NT : 1927 - 1932)",Northern Territory,18358667,1927-06-07,1932-06-28
37,36814,The Sydney Herald (NSW : 1831 - 1842),New South Wales,18360807,1831-04-18,1842-07-30
38,64194,"The Sunday Herald (Sydney, NSW : 1949 - 1953)",New South Wales,18360793,1949-01-23,1953-10-04
39,21622,"The Sun-Herald (Sydney, NSW : 1953 - 1954)",New South Wales,13231987,1953-10-11,1954-12-26
40,1065,"South Australian Gazette and Colonial Register (Adelaide, SA : 1836 - 1839)",South Australia,18367666,1836-06-18,1839-06-15
41,1284842,"South Australian Register (Adelaide, SA : 1839 - 1900)",South Australia,18367674,1839-06-22,1901-02-28
