year,total
1803,526
1804,619
1805,430
1806,367
1807,134
1808,155
1809,237
1810,274
1811,228
1812,215
1813,234
1814,239
1815,226
1816,644
1817,1068
1818,1249
1819,1152
1820,1275
1821,1005
1822,1033
1823,1156
1824,1646
1825,3366
1826,5201
1827,6693
1828,7335
1829,8935
1830,8977
1831,10989
1832,14814
1833,15622
1834,18704
1835,20389
1836,20553
1837,21805
1838,25911
1839,32876
1840,42411
1841,46377
1842,47934
1843,49913
1844,54331
1845,63389
1846,62153
1847,62767
1848,63463
1849,62794
1850,81624
1851,96566
1852,79960
1853,96033
1854,118895
1855,159935
1856,168695
1857,175360
1858,179582
1859,206358
1860,219161
1861,242909
1862,250356
1863,257827
1864,269855
1865,289821
1866,295323
1867,303877
1868,312325
1869,334643
1870,382839
1871,369692
1872,394582
1873,428598
1874,445748
1875,482469
1876,494060
1877,509249
1878,579536
1879,623357
1880,635179
1881,678250
1882,764271
1883,795970
1884,896949
1885,951384
1886,1027690
1887,1067300
1888,1196378
1889,1283312
1890,1397557
1891,1470880
1892,1529520
1893,1557977
1894,1616705
1895,1735416
1896,1854104
1897,1964081
1898,2188062
1899,2367475
1900,2604901
1901,2700100
1902,2756575
1903,2792650
1904,2954138
1905,3082541
1906,3124138
1907,3286003
1908,3391233
1909,3451747
1910,3681321
1911,3808007
1912,3963929
1913,4035371
1914,4676217
1915,4780187
1916,4366996
1917,4259423
1918,4038620
1919,3556469
1920,3302781
1921,3485308
1922,3635068
1923,3943361
1924,4244683
1925,4226949
1926,4223515
1927,4316067
1928,4436531
1929,4658120
1930,4500765
1931,4115172
1932,4125679
1933,4312233
1934,4448738
1935,4542293
1936,4622535
1937,4607576
1938,4605803
1939,4374674
1940,3715377
1941,3538872
1942,2872328
1943,2514906
1944,2568918
1945,2700847
1946,3235626
1947,3357916
1948,3021706
1949,3444852
1950,3442781
1951,3176214
1952,3269350
1953,3437088
1954,3445217
1955,391425
1956,228661
1957,153132
1958,153484
1959,153425
1960,154646
1961,151751
1962,156236
1963,167154
1964,167801
1965,177093
1966,160897
1967,155832
1968,157330
1969,179517
1970,193249
1971,195749
1972,179093
1973,180806
1974,179385
1975,168395
1976,169153
1977,170625
1978,175661
1979,184844
1980,185923
1981,164070
1982,153396
1983,141802
1984,146493
1985,155564
1986,149964
1987,130524
1988,143213
1989,146122
1990,136264
1991,139257
1992,154917
1993,155516
1994,150390
1995,149017
1996,64399
1997,73218
1998,75872
1999,85857
2000,64020
2001,64910
2002,63498
2003,28648
2004,25959
2005,21969
2006,21498
2007,22927
2008,21205
2009,9579
2010,9734
2011,9510
2012,8112
2013,8358
2014,8077
2015,8255
2016,4665
2017,4184
2018,3506
2019,3314
