state,year,total
ACT,1924,7
ACT,1925,457
ACT,1926,4505
ACT,1927,12068
ACT,1928,27631
ACT,1929,28480
ACT,1930,28393
ACT,1931,25582
ACT,1932,24668
ACT,1933,23362
ACT,1934,23425
ACT,1935,21861
ACT,1936,20446
ACT,1937,23521
ACT,1938,22398
ACT,1939,25782
ACT,1940,25021
ACT,1941,23440
ACT,1942,24680
ACT,1943,23392
ACT,1944,22386
ACT,1945,24117
ACT,1946,28498
ACT,1947,30053
ACT,1948,30702
ACT,1949,28692
ACT,1950,26609
ACT,1951,26228
ACT,1952,27242
ACT,1953,26697
ACT,1954,22901
ACT,1955,22341
ACT,1956,26211
ACT,1957,29905
ACT,1958,33856
ACT,1959,34475
ACT,1960,34189
ACT,1961,37946
ACT,1962,41999
ACT,1963,53669
ACT,1964,60285
ACT,1965,65102
ACT,1966,64315
ACT,1967,63222
ACT,1968,64259
ACT,1969,65826
ACT,1970,64189
ACT,1971,66765
ACT,1972,61694
ACT,1973,59528
ACT,1974,61443
ACT,1975,58575
ACT,1976,60360
ACT,1977,62319
ACT,1978,68391
ACT,1979,75396
ACT,1980,73349
ACT,1981,73070
ACT,1982,76880
ACT,1983,69246
ACT,1984,74120
ACT,1985,78702
ACT,1986,77160
ACT,1987,74870
ACT,1988,83171
ACT,1989,82512
ACT,1990,81543
ACT,1991,85022
ACT,1992,82242
ACT,1993,81020
ACT,1994,78559
ACT,1995,80121
ACT,1996,839
ACT,1997,838
ACT,1998,770
ACT,1999,99
ACT,2000,0
ACT,2001,129
ACT,2002,667
ACT,2003,742
ACT,2004,675
ACT,2005,478
ACT,2006,398
ACT,2007,271
International,1837,4
International,1838,29
International,1839,26
International,1840,22
International,1841,2
International,1842,0
International,1843,0
International,1844,0
International,1845,0
International,1846,0
International,1847,0
International,1848,0
International,1849,0
International,1850,0
International,1851,0
International,1852,0
International,1853,0
International,1854,0
International,1855,0
International,1856,0
International,1857,0
International,1858,0
International,1859,0
International,1860,0
International,1861,0
International,1862,0
International,1863,0
International,1864,0
International,1865,441
International,1866,1200
International,1867,28
International,1868,0
International,1869,0
International,1870,0
International,1871,0
International,1872,0
International,1873,0
International,1874,0
International,1875,0
International,1876,0
International,1877,0
International,1878,0
International,1879,0
International,1880,0
International,1881,0
International,1882,0
International,1883,0
International,1884,0
International,1885,0
International,1886,0
International,1887,0
International,1888,0
International,1889,0
International,1890,0
International,1891,0
International,1892,0
International,1893,0
International,1894,0
International,1895,0
International,1896,0
International,1897,0
International,1898,0
International,1899,0
International,1900,0
International,1901,0
International,1902,0
International,1903,0
International,1904,0
International,1905,0
International,1906,0
International,1907,0
International,1908,0
International,1909,0
International,1910,0
International,1911,1034
International,1912,1262
International,1913,1955
International,1914,1719
International,1915,1659
International,1916,1101
International,1917,1328
International,1918,1495
International,1919,1134
International,1920,1387
International,1921,132
International,1922,0
International,1923,0
International,1924,0
International,1925,1191
International,1926,1968
International,1927,2704
International,1928,2780
International,1929,2816
International,1930,2708
International,1931,2696
International,1932,24952
International,1933,34344
International,1934,34878
International,1935,24460
International,1936,36541
International,1937,37469
International,1938,34590
International,1939,22237
International,1940,26161
International,1941,17178
International,1942,19164
International,1943,37618
International,1944,29748
International,1945,15361
International,1946,393
International,1947,0
International,1948,0
International,1949,0
International,1950,0
International,1951,767
International,1952,690
International,1953,803
International,1954,703
International,1955,0
International,1956,0
International,1957,0
International,1958,0
International,1959,0
International,1960,0
International,1961,0
International,1962,0
International,1963,0
International,1964,0
International,1965,0
International,1966,0
International,1967,0
International,1968,0
International,1969,20522
International,1970,38487
International,1971,36992
International,1972,37492
International,1973,38043
International,1974,32394
International,1975,31164
International,1976,32249
International,1977,33365
International,1978,34129
International,1979,35319
International,1980,35021
International,1981,15125
National,1840,766
National,1841,0
National,1842,0
National,1843,0
National,1844,0
National,1845,0
National,1846,0
National,1847,0
National,1848,0
National,1849,0
National,1850,0
National,1851,0
National,1852,0
National,1853,0
National,1854,0
National,1855,0
National,1856,0
National,1857,0
National,1858,0
National,1859,0
National,1860,0
National,1861,0
National,1862,0
National,1863,0
National,1864,0
National,1865,0
National,1866,0
National,1867,0
National,1868,0
National,1869,0
National,1870,0
National,1871,0
National,1872,0
National,1873,0
National,1874,0
National,1875,0
National,1876,0
National,1877,0
National,1878,0
National,1879,0
National,1880,0
National,1881,0
National,1882,0
National,1883,0
National,1884,0
National,1885,0
National,1886,0
National,1887,0
National,1888,0
National,1889,0
National,1890,0
National,1891,0
National,1892,0
National,1893,0
National,1894,0
National,1895,0
National,1896,0
National,1897,0
National,1898,0
National,1899,0
National,1900,0
National,1901,0
National,1902,0
National,1903,0
National,1904,0
National,1905,0
National,1906,0
National,1907,0
National,1908,0
National,1909,0
National,1910,0
National,1911,0
National,1912,0
National,1913,0
National,1914,0
National,1915,0
National,1916,0
National,1917,0
National,1918,0
National,1919,0
National,1920,0
National,1921,0
National,1922,0
National,1923,0
National,1924,0
National,1925,0
National,1926,0
National,1927,0
National,1928,0
National,1929,0
National,1930,0
National,1931,0
National,1932,0
National,1933,6540
National,1934,11280
National,1935,11895
National,1936,12304
National,1937,10646
National,1938,10268
National,1939,10081
National,1940,8642
National,1941,8921
National,1942,4722
National,1943,3951
National,1944,4525
National,1945,5215
National,1946,5764
National,1947,6276
National,1948,4991
National,1949,7080
National,1950,8577
National,1951,7589
National,1952,7170
National,1953,7272
National,1954,8106
National,1955,8463
National,1956,8763
National,1957,8100
National,1958,8150
National,1959,8412
National,1960,8670
National,1961,9056
National,1962,9063
National,1963,8633
National,1964,8825
National,1965,8722
National,1966,8418
National,1967,7973
National,1968,9463
National,1969,9566
National,1970,9292
National,1971,8599
National,1972,8299
National,1973,7923
National,1974,7652
National,1975,7768
National,1976,7073
National,1977,7376
National,1978,7988
National,1979,8097
National,1980,8981
National,1981,9360
National,1982,8109
National,1983,795
National,1984,719
National,1985,741
National,1986,916
National,1987,798
National,1988,823
National,1989,869
National,1990,833
National,1991,618
National,1992,633
National,1993,681
National,1994,656
National,1995,728
National,1996,686
National,1997,724
National,1998,898
National,1999,1415
National,2000,1344
National,2001,1229
National,2002,1902
National,2003,1767
National,2004,1751
National,2005,1688
National,2006,1390
National,2007,1463
National,2008,1455
National,2009,1535
National,2010,1657
National,2011,1741
National,2012,1510
National,2013,1453
National,2014,1586
National,2015,1596
National,2016,1422
National,2017,1094
National,2018,1100
National,2019,1153
New South Wales,1803,526
New South Wales,1804,619
New South Wales,1805,430
New South Wales,1806,367
New South Wales,1807,134
New South Wales,1808,155
New South Wales,1809,237
New South Wales,1810,269
New South Wales,1811,228
New South Wales,1812,208
New South Wales,1813,234
New South Wales,1814,201
New South Wales,1815,226
New South Wales,1816,485
New South Wales,1817,685
New South Wales,1818,789
New South Wales,1819,717
New South Wales,1820,815
New South Wales,1821,739
New South Wales,1822,821
New South Wales,1823,957
New South Wales,1824,1212
New South Wales,1825,2157
New South Wales,1826,3863
New South Wales,1827,5281
New South Wales,1828,5055
New South Wales,1829,6505
New South Wales,1830,5706
New South Wales,1831,6686
New South Wales,1832,9494
New South Wales,1833,8999
New South Wales,1834,11211
New South Wales,1835,13117
New South Wales,1836,14456
New South Wales,1837,15094
New South Wales,1838,16301
New South Wales,1839,20008
New South Wales,1840,23187
New South Wales,1841,24144
New South Wales,1842,22953
New South Wales,1843,21118
New South Wales,1844,25918
New South Wales,1845,24629
New South Wales,1846,21481
New South Wales,1847,22784
New South Wales,1848,22885
New South Wales,1849,17807
New South Wales,1850,20023
New South Wales,1851,31646
New South Wales,1852,33855
New South Wales,1853,34184
New South Wales,1854,38839
New South Wales,1855,46292
New South Wales,1856,54209
New South Wales,1857,57032
New South Wales,1858,52830
New South Wales,1859,55756
New South Wales,1860,69382
New South Wales,1861,71834
New South Wales,1862,68006
New South Wales,1863,67298
New South Wales,1864,71200
New South Wales,1865,75270
New South Wales,1866,76146
New South Wales,1867,74418
New South Wales,1868,75610
New South Wales,1869,84162
New South Wales,1870,103003
New South Wales,1871,102849
New South Wales,1872,116174
New South Wales,1873,115123
New South Wales,1874,128252
New South Wales,1875,130626
New South Wales,1876,131717
New South Wales,1877,133827
New South Wales,1878,151460
New South Wales,1879,181558
New South Wales,1880,189390
New South Wales,1881,199728
New South Wales,1882,203789
New South Wales,1883,211475
New South Wales,1884,249631
New South Wales,1885,278435
New South Wales,1886,309746
New South Wales,1887,310200
New South Wales,1888,362279
New South Wales,1889,414863
New South Wales,1890,467293
New South Wales,1891,490798
New South Wales,1892,512732
New South Wales,1893,522284
New South Wales,1894,557144
New South Wales,1895,603076
New South Wales,1896,627160
New South Wales,1897,618279
New South Wales,1898,723536
New South Wales,1899,876007
New South Wales,1900,950416
New South Wales,1901,981285
New South Wales,1902,1018404
New South Wales,1903,1019778
New South Wales,1904,1063240
New South Wales,1905,1094962
New South Wales,1906,1136544
New South Wales,1907,1199727
New South Wales,1908,1140967
New South Wales,1909,1181786
New South Wales,1910,1241746
New South Wales,1911,1387497
New South Wales,1912,1448131
New South Wales,1913,1474973
New South Wales,1914,1537971
New South Wales,1915,1549386
New South Wales,1916,1406413
New South Wales,1917,1321818
New South Wales,1918,1244728
New South Wales,1919,1289170
New South Wales,1920,1182990
New South Wales,1921,1246312
New South Wales,1922,1249544
New South Wales,1923,1334257
New South Wales,1924,1417143
New South Wales,1925,1432422
New South Wales,1926,1473899
New South Wales,1927,1540078
New South Wales,1928,1544005
New South Wales,1929,1654899
New South Wales,1930,1602061
New South Wales,1931,1469290
New South Wales,1932,1441174
New South Wales,1933,1501023
New South Wales,1934,1549156
New South Wales,1935,1596465
New South Wales,1936,1637046
New South Wales,1937,1616640
New South Wales,1938,1659112
New South Wales,1939,1551979
New South Wales,1940,1332887
New South Wales,1941,1198893
New South Wales,1942,974519
New South Wales,1943,891894
New South Wales,1944,896735
New South Wales,1945,949050
New South Wales,1946,1056817
New South Wales,1947,1076477
New South Wales,1948,988503
New South Wales,1949,1043020
New South Wales,1950,1038683
New South Wales,1951,967432
New South Wales,1952,977767
New South Wales,1953,1034926
New South Wales,1954,1065703
New South Wales,1955,84371
New South Wales,1956,47862
New South Wales,1957,53185
New South Wales,1958,54142
New South Wales,1959,49455
New South Wales,1960,46668
New South Wales,1961,37925
New South Wales,1962,33445
New South Wales,1963,27376
New South Wales,1964,25496
New South Wales,1965,26224
New South Wales,1966,25210
New South Wales,1967,25004
New South Wales,1968,25977
New South Wales,1969,26024
New South Wales,1970,26126
New South Wales,1971,22676
New South Wales,1972,24809
New South Wales,1973,27374
New South Wales,1974,29183
New South Wales,1975,28709
New South Wales,1976,26209
New South Wales,1977,27383
New South Wales,1978,25366
New South Wales,1979,20279
New South Wales,1980,20461
New South Wales,1981,18134
New South Wales,1982,17650
New South Wales,1983,18149
New South Wales,1984,16582
New South Wales,1985,20361
New South Wales,1986,21047
New South Wales,1987,21578
New South Wales,1988,23329
New South Wales,1989,23139
New South Wales,1990,20219
New South Wales,1991,16745
New South Wales,1992,20432
New South Wales,1993,20752
New South Wales,1994,18776
New South Wales,1995,18715
New South Wales,1996,19415
New South Wales,1997,20029
New South Wales,1998,27791
New South Wales,1999,38701
New South Wales,2000,37042
New South Wales,2001,34653
New South Wales,2002,34668
New South Wales,2003,16226
New South Wales,2004,14970
New South Wales,2005,11822
New South Wales,2006,11751
New South Wales,2007,12452
New South Wales,2008,11964
New South Wales,2009,730
New South Wales,2010,599
New South Wales,2011,251
Northern Territory,1869,56
Northern Territory,1870,0
Northern Territory,1871,0
Northern Territory,1872,0
Northern Territory,1873,191
Northern Territory,1874,1409
Northern Territory,1875,1009
Northern Territory,1876,925
Northern Territory,1877,923
Northern Territory,1878,1270
Northern Territory,1879,1245
Northern Territory,1880,1346
Northern Territory,1881,1389
Northern Territory,1882,1560
Northern Territory,1883,2224
Northern Territory,1884,3827
Northern Territory,1885,3482
Northern Territory,1886,2920
Northern Territory,1887,3395
Northern Territory,1888,3326
Northern Territory,1889,3115
Northern Territory,1890,2396
Northern Territory,1891,2509
Northern Territory,1892,2624
Northern Territory,1893,2681
Northern Territory,1894,2623
Northern Territory,1895,2565
Northern Territory,1896,2490
Northern Territory,1897,2710
Northern Territory,1898,2759
Northern Territory,1899,3038
Northern Territory,1900,1952
Northern Territory,1901,2041
Northern Territory,1902,2136
Northern Territory,1903,1967
Northern Territory,1904,1927
Northern Territory,1905,1903
Northern Territory,1906,1707
Northern Territory,1907,2147
Northern Territory,1908,1910
Northern Territory,1909,1165
Northern Territory,1910,1161
Northern Territory,1911,1510
Northern Territory,1912,1340
Northern Territory,1913,2527
Northern Territory,1914,3497
Northern Territory,1915,3955
Northern Territory,1916,3532
Northern Territory,1917,4268
Northern Territory,1918,6320
Northern Territory,1919,6325
Northern Territory,1920,5101
Northern Territory,1921,10540
Northern Territory,1922,8064
Northern Territory,1923,7906
Northern Territory,1924,7776
Northern Territory,1925,7582
Northern Territory,1926,6829
Northern Territory,1927,9170
Northern Territory,1928,10375
Northern Territory,1929,10258
Northern Territory,1930,10320
Northern Territory,1931,11302
Northern Territory,1932,9111
Northern Territory,1933,6565
Northern Territory,1934,7336
Northern Territory,1935,7506
Northern Territory,1936,8610
Northern Territory,1937,7504
Northern Territory,1938,7260
Northern Territory,1939,8055
Northern Territory,1940,6551
Northern Territory,1941,6534
Northern Territory,1942,4634
Northern Territory,1943,9842
Northern Territory,1944,20643
Northern Territory,1945,22097
Northern Territory,1946,1942
Northern Territory,1947,6137
Northern Territory,1948,7786
Northern Territory,1949,8623
Northern Territory,1950,6936
Northern Territory,1951,7835
Northern Territory,1952,7070
Northern Territory,1953,6354
Northern Territory,1954,5569
Northern Territory,1955,413
Queensland,1846,310
Queensland,1847,624
Queensland,1848,811
Queensland,1849,700
Queensland,1850,779
Queensland,1851,740
Queensland,1852,715
Queensland,1853,822
Queensland,1854,804
Queensland,1855,895
Queensland,1856,2112
Queensland,1857,2388
Queensland,1858,4275
Queensland,1859,5078
Queensland,1860,7234
Queensland,1861,13132
Queensland,1862,17974
Queensland,1863,19610
Queensland,1864,22071
Queensland,1865,24302
Queensland,1866,28638
Queensland,1867,35223
Queensland,1868,39306
Queensland,1869,37581
Queensland,1870,40684
Queensland,1871,35728
Queensland,1872,39249
Queensland,1873,48738
Queensland,1874,49875
Queensland,1875,58421
Queensland,1876,65835
Queensland,1877,69280
Queensland,1878,75286
Queensland,1879,83611
Queensland,1880,82040
Queensland,1881,87894
Queensland,1882,92085
Queensland,1883,96933
Queensland,1884,104544
Queensland,1885,110749
Queensland,1886,133382
Queensland,1887,135707
Queensland,1888,164587
Queensland,1889,170932
Queensland,1890,183608
Queensland,1891,188634
Queensland,1892,208918
Queensland,1893,201456
Queensland,1894,203361
Queensland,1895,229623
Queensland,1896,255111
Queensland,1897,237585
Queensland,1898,241731
Queensland,1899,255350
Queensland,1900,345662
Queensland,1901,393367
Queensland,1902,394458
Queensland,1903,353541
Queensland,1904,433827
Queensland,1905,417433
Queensland,1906,383040
Queensland,1907,452134
Queensland,1908,525360
Queensland,1909,522956
Queensland,1910,556815
Queensland,1911,574993
Queensland,1912,615112
Queensland,1913,705049
Queensland,1914,710045
Queensland,1915,728883
Queensland,1916,671812
Queensland,1917,766644
Queensland,1918,723712
Queensland,1919,762080
Queensland,1920,653463
Queensland,1921,710617
Queensland,1922,753926
Queensland,1923,824529
Queensland,1924,922715
Queensland,1925,926856
Queensland,1926,946078
Queensland,1927,898361
Queensland,1928,893091
Queensland,1929,996583
Queensland,1930,1004697
Queensland,1931,957445
Queensland,1932,939221
Queensland,1933,988956
Queensland,1934,912037
Queensland,1935,916151
Queensland,1936,947178
Queensland,1937,937202
Queensland,1938,925047
Queensland,1939,902258
Queensland,1940,726869
Queensland,1941,598044
Queensland,1942,477276
Queensland,1943,374263
Queensland,1944,381628
Queensland,1945,430962
Queensland,1946,498795
Queensland,1947,518436
Queensland,1948,460833
Queensland,1949,520923
Queensland,1950,530149
Queensland,1951,514571
Queensland,1952,521166
Queensland,1953,546517
Queensland,1954,535216
Queensland,1955,30474
Queensland,1956,13089
Queensland,1957,1071
Queensland,1958,1303
Queensland,1959,1214
Queensland,1960,1276
Queensland,1961,1208
Queensland,1962,1231
Queensland,1963,1301
Queensland,1964,893
Queensland,1965,1186
Queensland,1966,1268
Queensland,1967,1514
Queensland,1968,1921
Queensland,1969,4462
Queensland,1970,5912
Queensland,1971,6980
Queensland,1972,7028
Queensland,1973,7136
Queensland,1974,8024
Queensland,1975,1871
Queensland,1976,1875
Queensland,1977,2125
Queensland,1978,2266
Queensland,1979,2215
Queensland,1980,2394
Queensland,1981,2439
Queensland,1982,2439
Queensland,1983,2852
Queensland,1984,2826
Queensland,1985,2622
Queensland,1986,2931
Queensland,1987,3117
Queensland,1988,3215
Queensland,1989,4340
Queensland,1990,1699
Queensland,1991,4134
Queensland,1992,4482
Queensland,1993,4309
Queensland,1994,4469
Queensland,1995,4446
Queensland,1996,4899
Queensland,1997,4995
Queensland,1998,4854
Queensland,1999,4207
Queensland,2000,5026
Queensland,2001,5100
Queensland,2002,4522
Queensland,2003,4561
Queensland,2004,4619
Queensland,2005,4083
Queensland,2006,4169
Queensland,2007,4104
Queensland,2008,3640
Queensland,2009,3497
Queensland,2010,3538
Queensland,2011,3394
Queensland,2012,3322
Queensland,2013,3451
Queensland,2014,3132
Queensland,2015,3223
South Australia,1836,18
South Australia,1837,160
South Australia,1838,1207
South Australia,1839,2049
South Australia,1840,5115
South Australia,1841,4536
South Australia,1842,4330
South Australia,1843,7274
South Australia,1844,7792
South Australia,1845,8819
South Australia,1846,9441
South Australia,1847,9904
South Australia,1848,9586
South Australia,1849,11453
South Australia,1850,22896
South Australia,1851,25689
South Australia,1852,15281
South Australia,1853,18582
South Australia,1854,24927
South Australia,1855,35103
South Australia,1856,33976
South Australia,1857,31327
South Australia,1858,33344
South Australia,1859,42798
South Australia,1860,42048
South Australia,1861,44559
South Australia,1862,42310
South Australia,1863,43195
South Australia,1864,51217
South Australia,1865,53339
South Australia,1866,54208
South Australia,1867,57347
South Australia,1868,58618
South Australia,1869,68043
South Australia,1870,72600
South Australia,1871,74861
South Australia,1872,76372
South Australia,1873,80468
South Australia,1874,83514
South Australia,1875,85427
South Australia,1876,87570
South Australia,1877,91784
South Australia,1878,107583
South Australia,1879,112863
South Australia,1880,123499
South Australia,1881,139649
South Australia,1882,146303
South Australia,1883,151108
South Australia,1884,165390
South Australia,1885,176017
South Australia,1886,179057
South Australia,1887,179546
South Australia,1888,177053
South Australia,1889,194574
South Australia,1890,201191
South Australia,1891,203198
South Australia,1892,204945
South Australia,1893,207806
South Australia,1894,206543
South Australia,1895,212797
South Australia,1896,216135
South Australia,1897,214765
South Australia,1898,231885
South Australia,1899,239904
South Australia,1900,244602
South Australia,1901,260594
South Australia,1902,261808
South Australia,1903,276589
South Australia,1904,263991
South Australia,1905,273985
South Australia,1906,293241
South Australia,1907,302857
South Australia,1908,319700
South Australia,1909,326504
South Australia,1910,399550
South Australia,1911,407806
South Australia,1912,436566
South Australia,1913,434596
South Australia,1914,486129
South Australia,1915,469494
South Australia,1916,446190
South Australia,1917,425089
South Australia,1918,395350
South Australia,1919,388512
South Australia,1920,376007
South Australia,1921,400974
South Australia,1922,434017
South Australia,1923,472780
South Australia,1924,467672
South Australia,1925,468747
South Australia,1926,449429
South Australia,1927,457781
South Australia,1928,499359
South Australia,1929,487243
South Australia,1930,445437
South Australia,1931,327643
South Australia,1932,313119
South Australia,1933,318172
South Australia,1934,328430
South Australia,1935,333869
South Australia,1936,346061
South Australia,1937,344455
South Australia,1938,351651
South Australia,1939,340570
South Australia,1940,312498
South Australia,1941,272239
South Australia,1942,211581
South Australia,1943,180114
South Australia,1944,182898
South Australia,1945,196479
South Australia,1946,227083
South Australia,1947,242651
South Australia,1948,225417
South Australia,1949,252210
South Australia,1950,278572
South Australia,1951,238586
South Australia,1952,251222
South Australia,1953,271802
South Australia,1954,281564
South Australia,1955,9612
South Australia,1956,6491
South Australia,1957,6433
South Australia,1958,6762
South Australia,1959,6943
South Australia,1960,6872
South Australia,1961,6928
South Australia,1962,5668
South Australia,1963,4922
South Australia,1964,5317
South Australia,1965,4932
South Australia,1966,4787
South Australia,1967,4849
South Australia,1968,4799
South Australia,1969,5111
South Australia,1970,4835
South Australia,1971,4746
South Australia,1972,4682
South Australia,1973,4761
South Australia,1974,4370
South Australia,1975,4450
South Australia,1976,3933
South Australia,1977,3873
South Australia,1978,4114
South Australia,1979,6222
South Australia,1980,7151
South Australia,1981,7098
South Australia,1982,7109
South Australia,1983,7302
South Australia,1984,8246
South Australia,1985,9773
South Australia,1986,9655
South Australia,1987,11128
South Australia,1988,12044
South Australia,1989,11985
South Australia,1990,11460
South Australia,1991,11594
South Australia,1992,11910
South Australia,1993,12973
South Australia,1994,12952
South Australia,1995,11334
South Australia,1996,8267
South Australia,1997,8768
South Australia,1998,9254
South Australia,1999,10057
Tasmania,1810,5
Tasmania,1811,0
Tasmania,1812,7
Tasmania,1813,0
Tasmania,1814,38
Tasmania,1815,0
Tasmania,1816,159
Tasmania,1817,383
Tasmania,1818,460
Tasmania,1819,435
Tasmania,1820,460
Tasmania,1821,266
Tasmania,1822,212
Tasmania,1823,199
Tasmania,1824,434
Tasmania,1825,1209
Tasmania,1826,1338
Tasmania,1827,1337
Tasmania,1828,2280
Tasmania,1829,2430
Tasmania,1830,3271
Tasmania,1831,4303
Tasmania,1832,5320
Tasmania,1833,6056
Tasmania,1834,6896
